	D5G	wG	D4G	D1G	DG	D4GD5G	X	Y
79	0.814948943	44.2801	0.363052907	1.335584122	2.642490845	1.17800185	-27.8747	-30.700043
80	0.968161802	42.6344	0.038695339	1.449763314	2.656435532	1.006857141	-27.8747	-29.699911
81	0.709601195	44.2943	0.169584383	1.31238587	2.317251634	0.879185578	-27.8747	-28.69978
82	0.745160913	43.934	0.246174706	1.334056729	2.451945375	0.991335619	-27.8747	-27.699648
83	0.768459874	43.9641	0.331644804	1.380707566	2.618190893	1.100104677	-27.8747	-26.699514
84	0.740287491	44.5803	0.27056015	1.37511594	2.514634022	1.010847641	-27.8747	-25.699383
85	0.740160637	44.9602	0.270648099	1.341809497	2.468889589	1.010808736	-27.8747	-24.699251
86	0.824890385	45.3028	0.335255793	1.301459306	2.579676603	1.160146177	-27.8747	-23.69912
87	0.760675958	46.9995	0.282255898	1.306339643	2.461685432	1.042931856	-27.8747	-22.698988
88	0.851942838	44.3912	0.441438694	1.428957706	2.845649996	1.293381532	-27.8747	-21.698854
89	0.693319077	43.4392	0.186029953	1.361089805	2.361216481	0.87934903	-27.8747	-20.698723
90	0.731670644	44.1987	0.227645121	1.379894458	2.462290029	0.959315765	-27.8747	-19.698591
91	0.724478431	44.2662	0.207537453	1.341294568	2.399605821	0.932015884	-27.8747	-18.69846
92	0.733945343	44.1739	0.224742471	1.357597984	2.441423905	0.958687813	-27.8747	-17.698328
93	0.741478844	44.9395	0.215057462	1.351981726	2.428486536	0.956536306	-27.8747	-16.698196
94	0.790490014	44.5116	0.279965608	1.37909002	2.577276528	1.070455621	-27.8747	-15.698064
95	0.903817777	43.4568	0	1.280353478	2.361428876	0.903817777	-27.8747	-14.697931
96	0.820647395	46.2674	0.348380138	1.275225324	2.559462588	1.169027534	-27.8747	-13.6978
97	0.869652142	42.698	0	1.321607813	2.380570822	0.869652142	-27.8747	-12.697667
98	0.721142848	43.5757	0.226246782	1.39607626	2.47039007	0.94738963	-27.8747	-11.697536
99	0.715858435	44.6713	0.198662302	1.35695761	2.395981267	0.914520736	-27.8747	-10.697404
100	0.771000327	45.133	0.285005295	1.323212499	2.49907277	1.056005622	-27.8747	-9.6972713
101	0.759296523	44.9053	0.25716665	1.318366437	2.446417604	1.016463173	-27.8747	-8.6971397
102	0.997875036	44.0497	0.017286196	1.804223309	2.984554859	1.015161231	-27.8747	-7.6970077
103	0.719371077	43.7626	0.215996546	1.35877079	2.420354763	0.935367623	-27.8747	-6.6968756
104	0.736391955	44.8411	0.231007348	1.32703085	2.415085076	0.967399303	-27.8747	-5.6967435
105	0.666068599	42.0875	0.151476372	1.199874173	2.164435642	0.817544972	-27.8747	-4.6966119
106	0.708858147	43.8413	0.199684901	1.407488226	2.438887297	0.908543048	-27.8747	-3.6964798
107	0.684299726	43.0757	0.197640331	1.369238257	2.384048115	0.881940057	-27.8747	-2.6963477
108	0.729210213	42.9973	0.25526494	1.389061957	2.501340899	0.984475153	-27.8747	-1.6962157
109	0.779908283	44.6154	0.322376296	1.322154866	2.550174737	1.102284579	-27.8747	-0.69608378
110	1.021372032	47.0271	1.40808E-09	0.879401766	1.988453168	1.021372033	-27.8747	0.30404818
111	0.79840569	44.622	0.310111832	1.331809792	2.563806195	1.108517522	-27.8747	1.3041801
112	0.718207928	43.9791	0.234654612	1.342433323	2.418571513	0.952862539	-27.8747	2.3043122
113	0.803447533	43.9637	0.350197998	1.352906826	2.635206739	1.153645531	-27.8747	3.3044441
114	0.888185722	44.308	0.32090676	1.359015134	2.701170141	1.209092483	-27.8747	4.3045759
115	0.819604189	43.6827	0.32736533	1.362803309	2.643828865	1.146969519	-27.8747	5.304708
116	0.763204498	44.1217	0.294255545	1.357698381	2.533853544	1.057460043	-27.8747	6.3048401
117	0.788544982	44.5367	0.316838695	1.368229652	2.599684737	1.105383677	-27.8747	7.3049722
118	0.906430919	42.4913	0.416051303	1.514795168	2.999249227	1.322482222	-27.8747	8.3051043
119	0.742300654	45.0916	0.267239684	1.29150796	2.416306628	1.009540338	-27.8747	9.3052359
